tmdb_id,genre
57361,Thriller
57361,Crime
57431,Comedy
57703,Drama
57703,Romance
57800,Animation
57800,Comedy
57800,Adventure
57800,Family
57876,Horror
57876,Mystery
57876,Science Fiction
58151,Horror
58151,Comedy
58224,Comedy
58224,Family
58232,Comedy
58232,Romance
58233,Crime
58233,Action
58233,Comedy
58244,Romance
58244,Science Fiction
58244,Drama
58244,Fantasy
58428,Horror
58428,Thriller
58431,Romance
58431,Horror
58431,Comedy
58431,Thriller
58496,Documentary
58547,Comedy
58547,Drama
58574,Action
58574,Adventure
58574,Mystery
58595,Adventure
58595,Fantasy
58595,Drama
58857,Adventure
58857,Drama
58857,Action
59108,Action
59108,Comedy
59429,Horror
59429,Thriller
59436,Fantasy
59436,Comedy
59436,Romance
59440,Drama
59440,Action
59468,Adventure
59468,Drama
59490,Documentary
59678,Action
59678,Comedy
59678,Science Fiction
59859,Action
59859,Adventure
59859,Crime
59860,Adventure
59860,Comedy
59860,Romance
59861,Comedy
59861,Romance
59861,Drama
59961,Action
59961,Thriller
59962,Action
59962,Comedy
59962,Romance
59965,Thriller
59965,Action
59965,Mystery
59967,Action
59967,Thriller
59967,Science Fiction
59968,Comedy
59968,Drama
60243,Drama
60281,Drama
60281,Romance
60304,Fantasy
60304,Horror
60304,Action
60307,Family
60307,Comedy
60308,Drama
60309,Crime
60309,Drama
60309,History
60420,Drama
60420,Romance
60534,Crime
60534,Thriller
60534,Drama
60599,Drama
60599,Thriller
60747,Action
60747,Thriller
60935,Horror
60935,Science Fiction
60935,Mystery
61012,Thriller
61012,Horror
61012,Mystery
61202,Drama
61202,Comedy
61202,Romance
61404,Action
61404,Thriller
61404,Crime
61667,Drama
61667,Comedy
61791,Thriller
61791,Action
61791,Drama
61791,Science Fiction
61891,Drama
61891,History
61891,Thriller
61984,Science Fiction
61984,Action
61984,Adventure
61984,Drama
62046,Mystery
62046,Comedy
62046,Crime
62177,Adventure
62177,Animation
62177,Family
62177,Fantasy
62206,Action
62206,Adventure
62206,Comedy
62211,Animation
62211,Family
62211,Comedy
62211,Fantasy
62213,Comedy
62213,Fantasy
62214,Animation
62214,Comedy
62214,Family
62215,Drama
62215,Science Fiction
62630,Drama
62630,Action
62630,Thriller
62630,Crime
62630,War
62764,Adventure
62764,Comedy
62764,Family
62764,Fantasy
62835,Action
62835,Thriller
62835,Crime
62835,Drama
62837,Drama
62837,Family
62838,Comedy
62838,Romance
63207,Thriller
63207,Horror
63207,Fantasy
63311,Drama
63311,Horror
63311,Mystery
63311,Thriller
63492,Comedy
63492,Romance
63493,Drama
63493,Thriller
63574,Comedy
63574,Music
64328,Comedy
64328,Family
64328,Music
64328,Adventure
64586,Drama
64586,Romance
64635,Action
64635,Science Fiction
64635,Thriller
64639,Drama
64639,Thriller
64678,Drama
64678,Romance
64682,Drama
64682,Romance
64685,Drama
64686,Drama
64686,Action
64686,Fantasy
64688,Action
64688,Comedy
64688,Crime
64689,Crime
64689,Thriller
64690,Drama
64690,Thriller
64690,Crime
64720,Thriller
64720,Drama
64720,Horror
64807,Comedy
65055,Thriller
65055,Horror
65057,Comedy
65057,Drama
65086,Drama
65086,Horror
65086,Thriller
65229,Drama
65754,Thriller
65754,Crime
65754,Mystery
65759,Animation
65759,Comedy
65759,Family
65760,Drama
65760,Thriller
65760,Crime
66125,Drama
66125,Comedy
66125,Family
